Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2017-08-11,32377.80078125,32396.140625,31128.01953125,31213.58984375,57300,30845.571022742046,29411.40894051703,28137.602549224437,59.36436272980294,-19.291923810857206,896.0289899034942,901.8585550129085,-5.829565109414261,0.6039942831754695,12.085701679572498,15.357183630286427,-10.956073354557526,38.017423254822916,30.79199989214497,20.180325579689352
2017-08-18,31299.51953125,31937.509765625,31298.900390625,31524.6796875,47100,30910.24803843328,29494.282303143817,28204.673383645735,62.160889192946605,2.796526463143664,841.3755156994666,889.7619471502202,-48.38643145075355,0.6675739021470133,11.643429230601487,15.367213631633966,10.76004951120163,36.78892883949248,28.234206021410607,18.504009872429275
2017-08-25,31609.9296875,31678.189453125,31220.529296875,31596.060546875,53300,30975.56351542773,29576.70497936857,28271.829565095817,62.793606989928286,0.6327177969816802,794.6617168208177,870.7419010843397,-76.08018426352203,0.6674752387150749,11.17025126060534,15.378443902263216,10.883710371704016,35.47299615152241,26.72291291384002,18.43015805355192
2017-09-01,31756.869140625,31944.099609375,31360.810546875,31892.23046875,46800,31062.86513002985,29667.509900520785,28343.52067209887,65.38025234315313,2.5866453532248457,772.6327032982772,851.1200615271273,-78.4873582288501,0.7335294562322836,10.381039203886685,15.388201702517335,10.753659849198824,34.65371142399532,28.01404168747369,17.168799753427532
2017-09-08,31932.19921875,31932.19921875,31560.3203125,31687.51953125,41000,31122.356025384153,29746.725964470952,28409.738471289984,62.1633455470573,-3.2169067960958344,730.2383563413205,826.943720489966,-96.70536414864557,0.6538151431888984,9.028736426802675,15.379658383804857,-10.62135173563291,33.89294703414873,26.756724777271785,16.398235387932676
2017-09-15,31798.310546875,32356.109375,31797.890625,32272.609375,42600,31231.903963442805,29845.780215864248,28486.230964432758,67.13988210402638,4.976536556969087,735.3754412030612,808.6300646325851,-73.25462342952392,0.8372096527710086,8.52105390686197,15.388533625113544,10.659633006160352,33.8011063702355,29.686674132309772,15.08718296712759
2017-09-22,32361.369140625,32524.109375,31886.08984375,31922.439453125,95700,31297.66924817444,29927.217833011728,28554.27469688211,61.893048324084894,-5.24683377994149,703.0860929400042,787.5212702940689,-84.43517735406476,0.6930183085384398,7.37535209981155,15.368484145035044,-11.468984026707247,33.937708787934575,29.431928893354325,13.941678258993473
2017-09-29,31986.400390625,32016.51953125,31081.830078125,31283.720703125,48000,31296.34081531259,29980.41402399656,28608.323132649293,53.65634658949106,-8.236701734593836,618.8238703072384,753.7817902967029,-134.95791998946447,0.3779853344088925,6.379873257522628,15.358274550919777,-10.778977123006351,32.20326910588256,26.283525372926935,21.65481353744481
2017-10-06,31537.810546875,31844.279296875,31440.48046875,31814.220703125,27200,31345.662709389962,30052.328011413363,28671.80625285673,58.586027041636164,4.9296804521451065,588.073423853566,720.6401170080755,-132.5666931545095,0.6229492270595279,5.601346660113973,15.364072779566753,10.211009016314165,30.59271797254855,24.584970025111645,20.255385613751717
2017-10-13,31862.19921875,32508.58984375,31769.400390625,32432.689453125,44900,31449.189065936156,30145.675518931468,28746.27918751551,63.465260236322784,4.87923319468662,606.6160407476564,697.8353017559917,-91.21926100833537,0.9181664792513018,5.783447187475328,15.373571172482626,10.712215345197256,30.099760297546652,30.072761646793193,18.552742472701887
