Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di,label
2014-01-24,21133.56055,21333.66016,21123.99023,21289.15039,10800,21091.83345664877,20894.28236512536,20559.66051746143,52.71553745486852,-8.505530150059336,103.73799813990628,82.87054235424763,20.867455785658635,0.5972858350354944,4.173397184917317,153200,-10800.0,15.3568562621373,24.388309779623047,19.67446692006681,0
2014-01-27,20707.44922,20899.0293,20688.0293,20899.0293,10100,21055.225434110795,20886.955575120443,20562.58702642259,41.65484487456151,-11.060692580307006,60.23713772737028,78.34386142887217,-18.10672370150189,0.1540628426084604,4.383897837525313,143100,-10100.0,15.538762468666857,21.081104737594547,30.275812594475216,0
2014-01-28,20683.50977,20795.34961,20554.2793,20721.16992,8200,21019.82394229072,20878.977308252972,20564.9815361964,41.13268141774056,-0.5221634568209552,23.559104210682563,67.38690998523425,-43.82780577455169,0.1675375858100081,4.56086688155228,134900,-8200.0,16.16888808414875,19.537293961452004,32.12169217068105,0
2014-01-29,20647.30078,20828.67969,20613.61914,20784.03906,7800,20984.345545882075,20869.89195420384,20566.611620232117,40.30961194074049,-0.8230694770000682,-8.334193093964132,52.24268936939458,-60.57688246335872,0.1688442338404593,4.750510005262558,127100,-7800.0,16.570386722088884,19.27178465881266,30.01028255211007,0
2014-01-30,20498.25,20528.41016,20343.7793,20491.74023,12600,20938.050731988544,20855.31775992134,20565.25792478197,37.025257023649786,-3.2843549170907025,-45.11693334012671,32.770764827490325,-77.88769816761703,0.0740945411986598,5.148453100573445,114500,-12600.0,17.796278149837793,17.521316640680347,35.3595483400176,1
2014-01-31,20513.84961,20572.32031,20448.42969,20544.64063,6100,20897.650625132494,20841.92685208129,20564.23993835065,37.59831943387956,0.5730624102297739,-72.17675315304223,11.781261231383816,-83.95801438442604,0.1266162228363411,5.462070807364388,120600,6100.0,18.685642884036124,18.20938886615238,34.00195465692081,0
2014-03-02,20209.25977,20480.34961,20182.19922,20479.0293,5700,20832.08959131035,20817.116378274182,20557.21062808628,31.55950065722864,-6.0388187766509205,-116.85270459446474,-13.945531933785896,-102.90717266067884,-0.0383138805868643,6.242805772568585,114900,-5700.0,20.236055904964065,16.39473322490833,38.613235925831766,1
2014-04-02,20211.92969,20255.51953,19963.11914,20050.99023,9800,20773.026743566505,20793.383566969314,20550.37338178754,31.663111756572576,0.1036110993439365,-150.310590828125,-41.21854371265371,-109.09204711547127,0.0277088779839515,6.852693480862718,124700,9800.0,22.161811933932192,14.977562680554264,41.75201956054552,1
2014-05-02,20261.0293,20289.33008,20076.09961,20241.11914,9300,20724.265082274454,20772.50692904895,20544.643796009568,33.65233369924235,1.989221942669772,-170.89431524676547,-67.15369801947607,-103.7406172272894,0.1049984129983154,7.322848968576376,134000,9300.0,23.75423151295217,15.03342622820035,39.09786159032944,1
2014-06-02,20310.74023,20358.18945,20079.82031,20286.08984,12400,20684.881763010224,20754.39843104703,20540.0120422272,35.69333170583998,2.0409980065976328,-181.108107024942,-89.94457982056926,-91.16352720437274,0.1661290009963951,7.6684268980134,146400,12400.0,24.82803135164308,15.829490270612393,35.89024663263922,1
2014-07-02,20376.56055,20450.50977,20282.30078,20441.03906,11100,20655.517837961637,20739.581259241266,20536.77537901478,38.39555815581412,2.702226449974134,-181.7958316713739,-108.3148301907302,-73.4810014806437,0.2278206246702303,7.917041811975495,157500,11100.0,25.29360713242607,17.808865913748335,34.0712571727808,0
2014-10-02,20334.26953,20434.5,20312.21094,20429.16016,7900,20624.922761012906,20723.68668162396,20532.765362202605,37.31070236980121,-1.084855786012902,-183.6365425291588,-123.37917265841592,-60.25736987074285,0.2308951307425043,8.063913782087315,149600,-7900.0,25.72592750029599,17.12917227705567,32.77089269103237,1
2014-11-02,20363.36914,20443.34961,20349.50977,20400.93945,9400,20600.01289234501,20709.55658195243,20529.410981564928,38.59631216147913,1.2856097916779206,-180.66463436897536,-134.83626500052782,-45.82836936844757,0.2712806584926687,8.184697460581788,159000,9400.0,26.071776757559128,16.810307255115287,31.611927372897973,1
2014-12-02,20448.49023,20516.59961,20427.23047,20449.83008,10100,20585.582162597864,20699.318685797432,20527.80859044483,42.32243667442896,3.726124512949831,-169.48707368086616,-141.7664267365955,-27.72064694427067,0.3409434366209888,7.932630978451717,169100,10100.0,25.925037737848918,18.384297315790526,30.0065308236618,0
2014-02-13,20193.34961,20503.85938,20164.66992,20478.66992,7900,20548.226681398068,20679.47676125636,20521.18564033701,35.39020457654493,-6.932232097884032,-179.15134683199722,-149.24341075567585,-29.907936076321363,0.2140244019211765,7.8354317056821,161200,-7900.0,26.669307814300275,16.398979373892896,35.12543408892554,1
2014-02-14,20366.82031,20391.94922,20149.00977,20265.13086,8300,20530.94988412206,20667.215723952184,20518.12890112241,42.30915955551134,6.918954978966411,-170.8433415021791,-153.5633969049765,-17.279944597202586,0.3401078859798235,7.71994823726339,169500,8300.0,27.407309129188267,15.138043072413383,32.92024820506345,1
2014-02-17,20464.06055,20492.42969,20338.94922,20438.86914,6100,20524.57947134853,20659.248854385434,20517.058240704147,45.81222334202332,3.50306378651198,-154.63023166824496,-153.7767638576302,-0.8534678106147453,0.4200027530719298,7.302648071444756,175600,6100.0,27.441603363587,17.640097152337784,31.283680667762702,1
2014-02-18,20634.21094,20685.01953,20436.48047,20457.56055,9400,20535.02056360105,20658.266975389928,20519.378096135748,51.37592854662539,5.563705204602066,-126.59223437193576,-148.33985796049134,21.74762358855557,0.5587221126958923,6.689955255705697,185000,9400.0,26.3705506455568,22.41476980685948,28.787896748762304,1
2014-02-19,20722.9707,20750.51953,20629.56055,20643.84961,4700,20552.920576591427,20660.80437635503,20523.40963284593,54.02764673534972,2.651718188724331,-96.1019452722976,-137.8922754228526,41.79033015055501,0.6688371374308351,5.7788948572235705,189700,4700.0,25.035863959392827,23.688498658387296,27.63248385226083,0
2014-02-20,20536.64063,20662.66016,20522.03906,20661.07031,6000,20551.37010548748,20655.935209831307,20523.671632789577,48.09768693723254,-5.929959798117181,-85.98230047603283,-127.51028043348865,41.52797995745581,0.5623631969769739,4.365584963699487,183700,-6000.0,24.25577887951828,22.10161127592711,29.36611204088264,1
2014-02-21,20700.75,20725.03906,20599.91016,20600.58008,6300,20565.59676210772,20657.69265258302,20527.17813511057,52.99149826180605,4.893811324573512,-63.9826028097159,-114.80474490873412,50.82214209901821,0.8450763448774488,3.4208140798839297,190000,6300.0,23.19150562380572,22.79907835134666,27.505556495084083,1
2014-02-24,20811.43945,20828.63086,20637.30078,20695.48047,12500,20589.0103514308,20663.72193875624,20532.80707203908,56.00467478915089,3.0131765273448394,-37.18729833827092,-99.28125559464148,62.09395725637056,0.9724959710178204,3.5886471729252785,202500,12500.0,21.661130286974025,24.83023440210751,25.72313372577268,1
2014-02-25,20852.4707,20912.53906,20777.73047,20877.7207,9500,20614.10181319929,20671.123850961874,20539.13704486999,57.10235249584514,1.097677706694249,-12.496891150240115,-81.92438270576122,69.4274915555211,0.9819703736114568,3.846864210992076,212000,9500.0,20.40269470809709,26.58361697686579,24.51757917086973,1
2014-02-26,20986.99023,21005.03906,20860.01953,20869.60938,8500,20649.614995751737,20683.510767786905,20548.005424773557,60.575254192308805,3.4729016964636656,17.720762357766944,-61.99535369305559,79.71611605082254,1.0548427427463325,4.372703544609533,220500,8500.0,19.669169497662185,28.423213446249346,23.19278765116622,1
2014-02-28,21120.11914,21140.50977,20989.66016,20995.39063,11400,20694.424914251573,20700.632664736437,20559.33440923348,63.70678158380355,3.1315273914947426,51.813586133463104,-39.23356572775185,91.04715186121496,1.0699786312780948,5.122493938787748,231900,11400.0,19.57214007129084,31.73214663895504,21.90988440174877,0
2014-03-03,20946.65039,21140.0,20920.98047,21079.26953,121600,20718.44638813237,20710.28041866834,20567.004032615,57.3180813144077,-6.388700269395848,64.09605677102081,-18.56764122799732,82.66369799901813,0.8624885426240166,5.425992643923645,110300,-121600.0,19.082074281287,29.2466090317994,22.6499267139165,1
2014-04-03,21209.73047,21224.64063,20940.39063,20947.0,9700,20765.235348310245,20729.866695191147,20579.73128880084,63.32495979407167,6.006878479663968,93.97508081160412,3.9409031799229695,90.03417763168116,1.0090570061527324,5.886781811783645,120000,9700.0,18.99551189924077,29.29892799048053,20.4149568738105,1
2014-05-03,21276.85938,21333.19922,21176.16016,21280.35938,7500,20813.961446566413,20751.31738871306,20593.535805458247,64.69049485894857,1.3655350648769016,121.66864425295717,27.48645139452981,94.18219285842736,0.9864146689638328,6.283156676775109,127500,7500.0,19.35789177382013,31.507569089622933,19.28289786846543,1
2014-06-03,21513.86914,21525.14063,21329.88086,21336.32031,9700,20880.619322131515,20781.22137895961,20611.76022792442,69.06936806069544,4.37887320174687,160.8861047924438,54.166382074112605,106.7197227183312,1.0551874184934125,7.004813958039816,137200,9700.0,20.37587907416597,35.45877386885071,17.619363660152075,1
2014-07-03,21919.78906,21960.89063,21539.43945,21539.43945,15200,20979.58786859518,20825.87109194159,20637.661788955626,74.82722262190087,5.757854561205434,222.15965177019095,87.76503601332828,134.3946157568627,1.147736434913729,8.397724353306813,152400,15200.0,22.435591772432137,44.346401541115775,15.094453197028034,1
2014-10-03,21934.83008,22023.98047,21805.2207,21819.18945,15500,21070.5633173004,20869.35967970859,20663.34828976838,75.01283650819738,0.1856138862965082,268.8341115189032,123.97885111444327,144.85526040445995,1.0432170799547005,9.42146229359147,167900,15500.0,24.476412732887287,43.25752930951729,14.034523241313126,0
2014-11-03,21826.41992,22018.51953,21772.10938,21918.83008,12000,21142.549660414646,20906.891453837663,20686.379411159105,70.95194829728541,-4.060888210911969,293.6906799087046,157.92121687329555,135.76946303540907,0.9274674786534856,9.885472941783146,155900,-12000.0,26.16019094645377,39.86209221402669,13.98765936827398,1
2014-12-03,21856.2207,21965.94922,21768.14063,21793.32031,10400,21210.518330851348,20944.120051726382,20709.54458519556,71.41013229932824,0.4581840020428274,312.1955671667165,188.77608693197973,123.41948023473677,0.8917586653660958,10.203581201048353,166300,10400.0,27.6970299759026,37.32899687733767,13.226289982507772,0
2014-03-13,21774.60938,21991.35938,21720.13086,21736.60938,9500,21264.24128791313,20976.68826067829,20730.63497717188,68.23586798315479,-3.174264316173449,316.6256092387557,214.3459913933349,102.27961784542076,0.8182412125716999,10.316563706251932,156800,-9500.0,28.78856073085559,34.12670647787088,13.610143321364076,1
2014-03-14,21809.80078,21853.32031,21573.48047,21648.05078,8800,21316.199334778543,21009.359339867377,20752.004597029863,68.87828581131004,0.6424178281552457,319.29546203891005,235.33588552245,83.95957651646006,0.8076349782569728,9.930608111721698,165600,8800.0,28.83470417128646,31.156904014175424,16.986191419620358,1
2014-03-18,21832.60938,22040.7207,21785.38086,21849.65039,8600,21365.38124384725,21041.643655166696,20773.402711544124,69.31150034373542,0.4332145324253815,319.5680217878835,252.1823127755367,67.38570901234678,0.7914743802803507,9.629497800574152,174200,8600.0,29.45884042572345,34.48404582766955,15.648092238437092,1
2014-03-19,21832.85938,21895.83008,21782.00977,21872.67969,11000,21409.90297109989,21072.67172280722,20794.38205151355,69.31654196100165,0.0050416172662295,316.1597079525964,264.97779181094864,51.18191614164772,0.7668161057801678,9.28605848991095,185200,11000.0,30.016490317145973,33.22750699514694,15.185824469388736,0
2014-03-20,21740.08984,21853.25,21704.66016,21797.60938,7600,21441.34933956657,21098.844982304978,20813.10893841427,65.04616705256015,-4.270374908441497,302.48599782008023,272.47943301277496,30.006564807305267,0.6986185625455478,8.95225668991902,177600,-7600.0,30.022432980464124,31.608262749709255,16.982572988522907,1
2014-03-21,21753.75,21870.10938,21729.90039,21823.51953,60600,21471.101783417373,21124.52753201851,20831.735494089236,65.38433840854948,0.3381713559893313,289.4155425559111,275.8666549214022,13.5488876345089,0.6850806426883841,8.628122396809221,238200,60600.0,30.088395940180703,30.684220157639096,16.18126670290182,1
2014-03-24,22055.48047,22074.33984,21827.5,21827.5,9000,21526.75689642524,21161.035490370727,20855.96806786964,71.86036397636383,6.476025567814347,299.94664167878364,280.6826522728785,19.263989405905136,0.8256366033112026,8.11343534091118,247200,9000.0,30.822390585280555,34.12137490447962,14.496927336855064,0
2014-03-25,22055.21094,22079.96094,21916.86914,21948.31055,7800,21577.08585295617,21196.10119427776,20879.715451476182,71.84743334288328,-0.0129306334805505,304.7578064995141,285.49768311820566,19.26012338130846,0.8025488213558631,7.662566122101028,239400,-7800.0,31.52110843750637,32.46644563471307,13.7148065582666,1
2014-03-26,22095.30078,22172.19922,22020.58008,22134.71094,10600,21626.439655531773,21231.36392312961,20903.78644808062,72.63614730350707,0.7887139606237952,308.2522641055075,290.048599315666,18.20366478984147,0.8037110458976916,7.243495002321662,250000,10600.0,32.451736803938154,33.92024075860468,13.011980504940862,1
2014-03-27,22214.36914,22307.74023,22094.28906,22116.23047,10400,21682.432939766844,21269.913147320607,20929.73858059388,74.88652338841723,2.250376084910158,316.9755714138446,295.4339937353017,21.541577678542865,0.8558162831760152,6.823901180600693,260400,10400.0,33.692641446988496,36.0527121644747,12.073910374626514,1
