Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-06-26,14421.8203125,14449.8095703125,14196.6796875,14300.7197265625,21800,15160.47431563362,15867.050915232474,16642.30972999491,34.40253005817358,4.231587797931965,-540.109175109983,-460.43235247032476,-79.67682263965821,0.18677074615234687,16.43881079801664,-185900,21800.0,37.789032402485915,14.457835600986101,40.81212011989066
2008-06-27,13802.2197265625,14127.759765625,13760.7802734375,14127.759765625,32200,15031.116735722084,15786.07714312777,16586.070323986347,28.658644489399222,-5.74388556877436,-581.0924314837575,-484.5643682730113,-96.52806321074621,-0.0037278232248489696,16.749699610258737,-218100,-32200.0,38.97462015078914,12.872020853172772,43.56844337306202
2008-06-30,13461.599609375,13872.0595703125,13405.5400390625,13791.01953125,22400,14881.638914165218,15694.921161411974,16524.19961676632,26.08067711765699,-2.5779673717422327,-633.7516595695197,-514.401826532313,-119.34983303720674,-0.04487847345219812,18.205161122653582,-240500,-22400.0,40.404910754695926,11.881534592667501,46.07531697406888
2008-07-01,12961.6796875,13613.009765625,12904.08984375,13480.01953125,27600,14698.785654482816,15587.735221258565,16453.654667671937,22.83413416611424,-3.24654295154275,-707.6663003040103,-553.0547212866525,-154.61157901735783,-0.09905444445602735,20.67458602576001,-268100,-27600.0,42.12317819239844,10.552682549781984,48.83323193402177
2008-07-02,13664.6201171875,13711.009765625,12822.75,12948.0498046875,32000,14600.29369854993,15512.318942667544,16398.426260731652,35.07274427459198,12.238610108477744,-701.4370381089084,-582.7311846511037,-118.70585345780466,0.1691844489320285,21.31836199999589,-236100,32000.0,43.39833667890216,10.615639507274176,42.429931029374565
2008-07-03,13094.1103515625,13458.2998046875,12934.919921875,13458.2998046875,29200,14456.847665503508,15417.487233212445,16332.994262530283,30.802764610827893,-4.26997966376409,-734.0737280844405,-612.9996933377711,-121.07403474666944,0.04931601846830161,22.44399781685301,-265300,-29200.0,44.5824124163699,9.512177139155927,38.019473030995364
2008-07-04,13454.0,13508.3798828125,13031.4296875,13097.009765625,31400,14361.338364026984,15340.487733870781,16275.984475153444,36.088731642998034,5.2859670321701415,-722.569126018012,-634.9135798738193,-87.65554614419261,0.1918595413167156,22.614117793250024,-233900,31400.0,45.500152581795255,9.579531248229294,35.42730732115149
2008-07-07,13525.990234375,13793.3896484375,13476.2900390625,13561.919921875,21200,14281.781399298223,15269.330969184673,16221.529143652879,37.123429308861944,1.0346976658639093,-699.5783321865583,-647.8465303363672,-51.73180185019112,0.2411833464404189,23.065894590170053,-212700,21200.0,45.353464028021385,13.273625701984795,33.668221267912486
2008-07-08,13349.650390625,13451.669921875,13049.9599609375,13226.0400390625,25400,14193.00701751982,15194.049377868607,16164.660257454307,35.602939758144004,-1.5204895507179401,-687.6601954133512,-655.8092633517641,-31.85093206158706,0.21829680903475487,23.771135544769272,-238100,-25400.0,45.7229268679407,12.347542246437552,37.56767874636247
2008-07-09,13964.259765625,13998.48046875,13581.41015625,13581.41015625,27600,14171.221564958409,15145.822334251212,16121.08797048739,44.183769207718605,8.580829449574601,-621.4573723527101,-648.9388851519534,27.48151279924332,0.41478699476464825,23.26538814118457,-210500,27600.0,44.4809822040795,19.029468084965647,34.07777918568063
